,AsciiPosition,AsciiCaracter,Porcentaje
9,32, ,0.0
8,46,.,7.0
7,58,:,14.0
6,45,-,20.0
5,42,*,35.0
4,43,+,36.0
3,61,=,39.0
2,35,#,72.0
1,37,%,80.0
0,64,@,100.0
